career_objective,skills,degree_names,positions,locations,responsibilities,role_positions,certification_skills
I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['B.Tech'],['Application Development Associate'],[None],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['AI on the cloud'],
,"['API', 'ATL', 'audio', 'backup', 'broadcast', 'C++', 'CLI', 'Hardware', 'concept', 'content management', 'Content', 'client', 'clients', 'documentation', 'dynamic HTML5', 'editing', 'XML', 'FTP', 'functional', 'drawing', 'HTTP', 'IDs', 'explorer', 'JavaScript', 'json', 'LAN', 'MB', 'access', 'C#', 'MFC', 'Win', 'Windows', '2000', 'NAS', 'OOP', 'page', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'specification', 'team management', 'threads', 'troubleshoot', 'Video', 'Video Editing', 'Visual C++']","['M.S', 'B.E']","['Software Engineering Manager', 'Software Engineering Manager', 'Principal Software Engineer', 'Software Engineer']","['City, State', 'City, State', 'City, State', 'City, State']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,
,"['agency', 'delivery', 'insurance', 'materials', 'policies', 'roofing', 'selling', 'sales']",['Bachelor of Arts'],"['Business Development Consultant', 'P&C Producer and Sales Agent', 'Sales Representative']","['City, State', 'City, State', 'City, State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
Graduate of computer science with experience working across the full-stack of software development. Looking for a role where I can grow and learn from experienced team members while drawing on project experience I have already successfully executed.,"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs', 'Git']",['B.S.'],['Web Developer Intern'],"['Chicago, IL']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",['Co-founder'],
,"['advertising', 'competitive', 'content', 'contracts', 'customer satisfaction', 'customer service', 'customer support', 'fashion', 'fast', 'functional', 'marketing strategies', 'marketing', 'market', 'marketing material', 'networking', 'payroll', 'progress', 'promotion', 'quality', 'selling', 'sales', 'script', 'strategic', 'telephone', 'phone', 'training manuals']",['High School Diploma'],"['Business Development Manager', 'Event Manager', 'Customer Service Call Center Manager', 'Customer Service Representative / Call Center']","['City, State', 'City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,
"Looking for a job opportunity in which I can interact, learn, and contribute solutions to the problems, which enhances company benefits along with my career.","['Python', 'Anaconda', 'NumPy', 'Pandas', 'Matplotlib', 'Scikit Learn', 'TensorFlow', 'Streamlit', 'Arduino', 'Raspberry Pi']",['B. Tech'],['Intern'],"['Remote', 'Vancouver, BC', 'Toronto, Canada']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",['Deep Learning Masters Machine Learning'],
To secure a position that will allow me to exercise skills obtained through education and prior work experiences.,"['Quality Assurance', 'Testing', 'Access', 'Qa', 'Cases', 'Database', 'Regression Testing', 'Visual Basic', 'Client/server', 'Clients', 'Integration', 'Integration Testing', 'Integrator', 'Lotus Notes', 'Microsoft Windows', 'Ms Access', 'Ms Visual Basic', 'Printing', 'Software Quality Assurance', 'Windows 95', 'Electrical Engineering', 'Documentation', 'Network Protocols', 'Oracle', 'Proposals', 'Sql', 'Unix', 'Qa Test', 'Test Plan', 'Test Cases', 'Application Analysis', 'Application Support', 'Automated Test Scripts', 'Basis', 'Billing', 'Business Process Management', 'C++', 'Contracts', 'Dispatching', 'Issues Management', 'Logistics', 'Maintenance', 'Maintenance Repair', 'Planning Modules', 'Process Management', 'Qa Testing', 'Scheduling', 'Staff Training', 'Strategic Planning', 'Systems Support', 'Telephony', 'Test Scripts', 'Training', 'Graphical User Interface', 'Gui', 'Wireless', 'Black Box', 'Usability', 'Adt', 'Api', 'Application Development', 'Pocket Pc', 'System Administration', 'Systems Administration', 'Telephones', 'Voice', 'Wap', 'Retail', 'Retail Marketing', 'Team Lead', 'Architecture', 'Database Systems', 'Design Review', 'Engineer', 'Quality Engineer', 'Software Quality Engineer', 'Test Plans', 'White Box', 'White Box Testing', 'Black Box Testing', 'Data Acquisition', 'Databases', 'Db2', 'Dbase', 'Dbase Iv', 'Excellent Verbal And Written Communication Skills', 'Ftp', 'Ieee', 'Internet Explorer', 'Ipx', 'Java', 'Javascript', 'Linux', 'Ms Office', 'Netbeui', 'Netscape', 'Networking', 'New Products', 'Novell', 'Operations', 'Problem Solving', 'Rdbms', 'San', 'Software Development', 'Software Testing', 'Solutions', 'Storage Area Network', 'Structured Software', 'System Integration', 'Tcp', 'Tcp/ip', 'Virtual Machine', 'Visual Test', 'Vm', 'Assurance Analyst', 'Automated Testing', 'Back End', 'Data Integrity', 'Dos', 'Encryption', 'Exchange', 'File', 'Invoice', 'Lan', 'Ms Exchange', 'Ms-dos', 'Progress', 'Security', 'Business Intelligence', 'Collection', 'Data Collection', 'Data Mining', 'Data Warehousing', 'E-business', 'Embedded Systems', 'Html', 'Inspections', 'Inventory', 'Qa Engineering', 'Real Time', 'Real Time Embedded', 'Real Time Embedded Systems', 'Shipping', 'Wireless Data']","['Minor', 'Testing Computer Software', 'BS']","['QA Engineering Team Lead', 'Quality Assurance Engineering Manager', 'QA Lead for Customer Care/Service Applications', 'Mail - Software Quality Engineer II', 'Senior Quality Assurance Analyst', 'Software Quality Assurance']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
"With solid JavaScript and Visual Studio Code knowledge, I'm seeking a web developer position at Enfield Technologies. Looking to apply these skills to enhance the company's digital presence and assist in developing state-of-the-art web applications.","['JavaScript', 'Visual Studio Code', 'Git', 'TensorFlow', 'Selenium (automated testing)', 'Docker']","['M.S.', 'B.S.']","['Technical Support', 'Office Assistant']","['Hanover, NH', 'Hanover, NH']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
,"['Results-oriented', 'Operations management', 'Client-focused', 'Excel in [areas of expertise]', 'Proficiency in [area]', 'accounting', 'accounting manager', 'accounting system', 'accounts payable', 'accounts receivable', 'auditing', 'bank reconciliations', 'cash receipts', 'documentation', 'E-mail', 'financial', 'mail', 'payables', 'personnel', 'processes', 'maintain files', 'spreadsheet', 'phone', 'treasury', 'written', 'yearend']","['Associate Degree', 'Bachelor of Science degree']",['Accountant'],"['City , State']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,
"Fresher, working as a Software Developer and interested in Machine Learning Roles. Familiar with how large scale models are built and data processing is done for large amounts of data. Also well acquainted with the norms of Python development.","['C++', 'Python', 'C', 'Software Developer', 'Prediction Modelling', 'Machine Learning']",['B.Tech'],['Developer Engineer'],[None],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
,"['agency', 'delivery', 'insurance', 'materials', 'policies', 'roofing', 'selling', 'sales']",['Bachelor of Arts'],"['Business Development Consultant', 'P&C Producer and Sales Agent', 'Sales Representative']","['City, State', 'City, State', 'City, State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,
"To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application.","['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['BS', 'AAS']","['Engineering Technician', 'Senior Engineering Technician', 'Engineering Technician']","['City , State', 'City , State', 'City , State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['N/A', 'Participant']",
"An enthusiast, with a Master's degree in Electronics & Telecommunication, very keen to learn & eagerly looking for opportunities.","['Data science', 'Deep learning', 'Neural Networks', 'Artificial Intelligence', 'Natural Language Processing', 'Pattern Recognition', 'Machine Learning', 'Predictive Analytics', 'Logistic regression']",['B.CA'],['Intern Trainee'],"['Minneapolis, Minnesota', 'Fargo, North Dakota']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",['N/A'],
Innovative and enthusiastic computer science educator with a passion for critical thinking/problem-solving and sharing a love for technology and science. Looking for a career role at the Green Meadow Waldorf School that will make a difference for students in the STEM areas and instill in them the confidence and abilities to succeed and thrive.,"['JavaScript (Angular)', 'HTML/CSS', 'Python (Django)', 'SQL (MySQL, PostgreSQL)', 'Git', 'Ruby on Rails']",['Bachelor of Science'],['Computer Science Tutor'],"['Trenton, NJ']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,[None]
"Passionate, motivated and highly conjugated towards a building mentality. Perfecting for a better code is always my ideology.","['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']",['B.Sc'],"['Automation Engineer', 'Data Engineer']","['N/A', 'N/A']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",['N/A'],
"A Software Designer Internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.","['Object-oriented programming', 'manual testing', 'technical report writing', 'Windows XP/Vista', 'Unix', 'Linux', 'Administration of Windows 2000 Server', 'MIPS Assembler', 'Unix Shell Scripts', 'C', 'Java', 'JVS', 'VBS', 'PL/SQL', 'ASP', 'Digital Logic', 'Verilog Hardware Language', 'installation and configuration of peripherals', 'troubleshooting hardware', 'embedded systems', 'robotics', 'MS Office Suite', 'MS Visio', 'MS Project', 'SQL Navigator', 'Remedy', 'Eclipse']",['Honours Bachelor of Science'],"['Customer Service Representative', 'Academic Resource Advisor']","['Toronto', 'Toronto']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,
,"['accounting', 'Accounting Systems', 'ad', 'analytical skills', 'auditing', 'automation', 'billing', 'budgeting', 'budgets', 'Budget', 'business operations', 'business process', 'Cash-Flow', 'cash flow', 'closing', 'contracts', 'CPA', 'Crystal Reports', 'Database Management', 'Essbase', 'senior management', 'financial', 'Financial Accounting', 'financial analysis', 'financial analysis/planning', 'Financial Reporting', 'financial statements', 'fixed assets', 'Forecasting', 'general ledger', 'Great Plains', 'Hyperion', 'inventory', 'ledger', 'law', 'market', 'MAS 90', 'Excel', 'MS Office', 'negotiation', 'Enterprise', 'Peachtree', 'personnel', 'policies', 'pricing', 'processes', 'quantitative analysis', 'QuickBooks', 'reconciling', 'relationship management', 'reporting', 'researching', 'Research', 'sales', 'SarbanesOxley', 'Strategic Planning', 'Tax Preparation', 'tax', 'taxes', 'Trend']",['BS'],"['Lead Accountant', 'Senior Accountant', 'Senior Accountant']","['City, State', 'City, State', 'City, State']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,
Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']",['B.Tech'],['Big Data Analyst'],"['City, State', 'City, State']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,
,"['Data Analysis', 'Data Analytics', 'Linear Regression', 'Logistic Regression', 'Predictive Modeling', 'Business Analytics']",['B.Tech'],"['Associate Medical Analyst', 'Junior Data Engineer']","['N/A', 'N/A']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,
I am currently working as a junior Machine Learning Engineer and I want to learn more about how Machine Learning projects impact real work scenarios.,"['Data Mining', 'Deep Learning', 'Machine Learning', 'Software Testing', 'Algorithms', 'Python', 'JIRA', 'NLP', 'SQL', 'Unsupervised learning', 'Clustering', 'Regression', 'Model Development', 'MLOPS']",['B.Tech'],['Junior Machine Learning Engineer'],"['N/A', 'N/A', 'N/A']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,
,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['B.Tech'],['Associate Software Engineer and Analyst'],"['City , State', 'City , State', 'City , State']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,[None]
"Senior Computer Vision Scientist with 10+ years of experience working with data and data sets of varying size and complexity. As a seasoned Computer Scientist, I am looking to continue my career in a senior or director-level position with AbCellera.","['Snowflake', 'Python', 'C++', 'R', 'SQL', 'Tableau', 'PyTorch']",['B.S.'],"['Computer Vision Scientist', 'IT Data Scientist', 'Associate Data Scientist']","['Remote', 'Vancouver, BC', 'Toronto, Canada']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,"[None, None]"
,"['C/C++', 'Java', 'HTML', 'CSS', 'Python', 'Portuguese (fluent)']",['Bachelor of Science'],"['Software Engineer Intern', 'Software Engineer Intern']","['Boulder, CO', 'Denver, CO']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",['President'],
As a Data Analyst I always look into more innovative ways of finding figures and facts from data. I have also worked with some production based Machine learning application problems and I would like to involve myself more with such ventures.,"['Machine Learning', 'Artificial Intelligence', 'Python', 'Predictive Analytics', 'Statistical Modeling', 'Data Visualization', 'Data Analysis', 'Data Mining', 'Data Validation', 'Power Bi', 'Text Analytics', 'Data Modeling', 'Data Analyst']","['B.Tech', 'M.Tech']",['Data Analyst'],[None],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","['Using Python', 'Using Tableau']",
To obtain a computer engineering internship at XYZ Company that will utilize my problem-solving abilities and to further sharpen my skills in computer science.,"['Python', 'Java', 'HTML 5', 'SQL', 'C Programming', 'Excel', 'Access']",['Bachelor of Science'],"['Software Engineering Intern', 'IT Help Desk Support']","['Minneapolis, Minnesota', 'Fargo, North Dakota']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",['Student Senator'],
,"['Python', 'MySQL', 'Natural Language Processing', 'Machine Learning', 'Neural Networks', 'Flask', 'Docker', 'GIT', 'BERT', 'LSTM', 'RNN', 'Deep Learning', 'AWS', 'Tensorflow', 'Keras', 'PyTorch', 'Numpy', 'Pandas', 'Glove', 'Lucene', 'Linux', 'Devops', 'Spacy', 'GPU', 'Data Science']",['B.Tech'],"['Machine Learning Engineer', 'Junior Machine Learning Intern']","['N/A', 'N/A']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,
,"['Web design technology', 'Database management system and administration', 'Programming in Java', 'Windows platforms programming', 'Linux programming', 'Database Programming', 'Python', 'Operating System knowledge', 'Data analysis techniques', 'Software development skills', 'Installation of hardware', 'Repair and maintenance practice', 'Troubleshooting of hardware failure', 'Upgrading of hardware', 'Installation of network components', 'Cabling and laying of cables', 'IP addressing', 'Firewall setup', 'Troubleshooting a network failure', 'Network design', 'Office suite', 'Accounting packages', 'Improving Accounting and Internal Control Systems', 'Interpersonal and Communication Skills', 'Negotiating skills', 'Technical proposal writing skills', 'Monitoring and evaluation skills']","['Masters of Science in Information Technology', ""Bachelor's Degree in Computer Science"", 'Certification in computer packages', 'KCSE', 'KCPE']","['Technician and Instructor', 'Computer Technologist', 'Software Implementation Team Member', 'Tutor', 'Poling Clerk', 'Software Developer']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,
,"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']",['B.Tech'],['Intern'],"['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",['Analytics for Beginners'],
,"['budget', 'business strategy', 'consultation', 'Customer Relationship Management', 'delivery', 'direct mail', 'directing', 'Driving', 'email', 'senior management', 'Forecasting', 'graphic design', 'graphic', 'image', 'inside sales', 'inventory', 'Marketing Strategy', 'marketing', 'market', 'Marketing & Sales', 'mentor', 'New Business Development', 'Optimization', 'policies', 'presentations', 'Sales', 'strategy']",['Associate of Arts'],"['New Business Development Manager', 'Inside Sales Manager', 'Inside Sales Manager']","['City, State', 'City, State', 'City, State']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","['Ambassador of the Month', 'Certified Tourism Ambassador']","[None, ['business', 'marketing', 'sales']]"
"Proficient Entry Level Electrical Engineer with excellent technical, analytical and communication skills. Willing to relocate anywhere in the US.","['Testing', 'Troubleshooting', 'Embedded Hardware & Software', 'Microprocessors', 'Computer systems', 'Hardware & Software design', 'Digital signal processing', 'Analog and Digital Filter design', 'Reading Circuit Schematics', 'Circuit Design and Analysis', 'Digital logic', 'Soldering', 'Project management', 'Electronics', 'Low and High voltage devices', 'Low voltage power consumption', 'Power Systems Analysis', 'Active Noise Cancelling (ANC)', 'Research and Development', 'Solar PV systems Design', 'NationalElectric Code (NEC)', 'Engineering Ethics', 'Failure Analysis', 'Logistics', 'Oscilloscope', 'Logic analyzer', 'Multimeters', 'MS Visual Studio', 'MS Office', 'MAC OS', 'Matlab', 'Simulink', 'Mathcad', 'Verilog', 'Orcad', 'PSPICE', 'SolidWorks', 'AutoCAD', 'Inventor', 'PowerWorld', 'ETAP', 'HelioScope', 'C++', 'C#', 'C languages']","['Master of Science', 'Bachelor of Science']","['N/A', 'N/A', 'Engineering Intern']","['N/A', 'N/A', 'N/A']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,
Software Engineer with a track record of Implementing and completing projects on time and in alignment with client expectations. Enthusiast about Data Science and keen to learn and explore.,"['Software Development', 'Application Programming', 'System Analysis', 'Technical Architecture', 'Requirement Gathering', 'Client Management', 'Server Management', 'Data Science', 'Machine Learning', 'Python', 'AWS', 'MySQL', 'NoSQL', 'NLP']",['Bachelor of Engineering'],['SDE'],"['City , State', 'N/A', 'N/A', 'City']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,[['Data Science']]
"Dedicated and focused professional who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority.","['Project coordination', 'Forward-thinking mindset', 'Microsoft Office proficiency', 'Business writing', 'Results-oriented', 'Self-directed', 'Strong interpersonal skills', 'Organized and detail-oriented', 'Accounting', 'Accounting Systems', 'AIA', 'AS400', 'Billings', 'Bluebeam', 'Bonds', 'Budgets', 'Business Management', 'Clerical', 'Construction Management', 'Contracts', 'Special Events', 'Filing', 'Imaging', 'Insurance', 'JD Edwards', 'Microsoft', 'Office', 'Negotiations', 'Payroll', 'Coding', 'Project Management', 'Property Management', 'Proposals', 'RFI', 'SAP', 'Scheduling', 'Taxes', 'Trade Shows']","['N/A', 'N/A']","['Project Accountant', 'Assistant to Vice President', 'Owner', 'Assistant Project Manager', 'Project Manager', 'Project Coordinator', 'Executive Assistant']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,
,"['Visual Studio Code', 'Git', 'Xilinx Vivado', 'MATLAB', 'AutoCAD', 'VHDL', 'Wireshark', 'Arduino IDE', 'VMware', 'JUnit']",['Bachelor of Science'],"['Computer Engineer', 'Systems Analyst', 'IT Support Specialist']","['Malvern, PA', 'Pittsburgh, PA', 'Pittsburgh, PA']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,
Fresher who is well acquainted with some of the Natural Language Processing (NLP) and text analysis. I have worked on a few projects and also on databases to extract data and process them. In search of a role where I can understand about the commercial applications and contribute to them.,"['Data Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'Natural Language Processing', 'Text analysis', 'Numpy', 'Pandas', 'Matplotlib', 'Seaborn', 'Statistical Analysis', 'NLTK', 'BERT', 'Transformers', 'Pytesseract', 'Clustering', 'KNN', 'K-Means']",['B.Sc(CA)'],['Python Developer Intern'],"['City , State', 'N/A', 'N/A', 'City']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",['Introduction to R'],
Graduate of computer science with experience working across the full-stack of software development. Looking for a role where I can grow and learn from experienced team members while drawing on project experience I have already successfully executed.,"['JavaScript (Angular)', 'HTML/ CSS', 'Python (Django)', 'SQL (PostgreSQL, Oracle)', 'REST APIs', 'Git']",['B.S.'],['Web Developer Intern'],"['Chicago, IL']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",['Co-founder'],
As a junior analyst I currently work with data preprocessing and data cleaning before sending them to Machine Learning Models. I am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,"['Data Analysis', 'Tableau', 'PowerBI', 'R', 'Python', 'Statistical Analysis', 'L1 L2 Regression', 'Machine Learning']",['B.Tech'],['Data Analyst Intern'],"['Remote', 'Vancouver, BC', 'Toronto, Canada']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']",['B.Tech'],['Software Developer (Machine Learning Engineer)'],"[None, 'City , State', None, 'City , State', 'City , State']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"Machine learning Enthusiast. Motivated to learn, grow and excel my experience by challenging myself.","['Machine Learning', 'Text Analytics', 'Software Development', 'Data Analysis', 'Python', 'Java', 'JavaScript', 'Matplotlib']",['B.Tech'],['Intern Trainee'],"['USA', None, None, None]","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['Data Science With Python'],
,"['Web Developer', 'Data Analyst', 'Web Development', 'Machine Learning', 'Python', 'FrontEnd', 'HTML', 'Javascript', 'PHP', 'CSS', 'MySQL', 'Java', 'Data Structures', 'OOP', 'Algorithms', 'C']",['B.Tech(Computers)'],['Intern'],"['Trenton, NJ']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",['N/A'],
Adept at extracting and combining data from multiple sources to come up with KPIs which have a direct impact on the bottom line of a project.,"['Data Analysis', 'Data Visualization', 'Deep Learning', 'Machine Learning', 'Adobe Analytics', 'Excel', 'Matplotlib', 'Python']",['B.tech'],['Analyst Support'],"['N/A', 'N/A', 'N/A']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,
