Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
5 to 10 Years,B.Com,$59K-$96K,Muscat,Contract,UX Researcher,UX Strategist,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.",User experience strategy User journey mapping Design thinking,NMDC Limited
4 to 8 Years,B.Tech,$57K-$96K,Freetown,Part-Time,Paralegal,Corporate Paralegal,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills,Yum China Holdings
1 to 13 Years,BA,$63K-$101K,New Delhi,Full-Time,Marketing Manager,Product Marketing Manager,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration,Estée Lauder
3 to 11 Years,BA,$56K-$106K,Gibraltar,Part-Time,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",American Family Insurance Group
2 to 15 Years,PhD,$62K-$107K,Rabat,Contract,Executive Assistant,Project Coordinator,"Project Coordinators assist in planning, executing, and monitoring projects. They facilitate communication among team members, track project progress, and ensure tasks are completed on time.",Project management Communication Time management Organization Problem-solving,TIAA
2 to 8 Years,B.Tech,$64K-$125K,Dhaka,Intern,UX/UI Designer,User Experience Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Continental Resources
5 to 10 Years,M.Tech,$63K-$80K,Cairo,Part-Time,Social Media Manager,Social Media Analyst,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Guardian Life Ins. Co. of America
3 to 14 Years,BCA,$63K-$80K,Managua,Contract,IT Support Specialist,Help Desk Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,PepsiCo
1 to 9 Years,MBA,$61K-$119K,Nicosia,Intern,Digital Marketing Specialist,SEO Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",Expedia Group
1 to 14 Years,M.Tech,$64K-$108K,Singapore,Intern,Legal Advisor,Corporate Counsel,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.",Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence,Dollar Tree
1 to 11 Years,BCA,$62K-$118K,Phnom Penh,Full-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Honeywell International
3 to 11 Years,B.Tech,$61K-$84K,Kingstown,Part-Time,Content Writer,Technical Writer,"Technical Writers specialize in creating user-friendly documentation and manuals for technical products and services. They translate complex technical information into accessible, understandable content.",Technical documentation Technical knowledge Writing skills Editing User manuals,Baidu
3 to 14 Years,BCA,$55K-$81K,Sarajevo,Part-Time,Speech Therapist,Speech Pathologist,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.",Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Molina Healthcare
5 to 10 Years,M.Com,$60K-$94K,Andorra la Vella,Full-Time,Procurement Specialist,Procurement Coordinator,"Procurement Coordinators assist in procurement activities, including vendor communication, purchase order processing, and inventory management.",Procurement processes Purchase order management Vendor communication Data analysis Inventory control,Southwest Airlines
1 to 8 Years,MCA,$55K-$119K,Belgrade,Intern,Chemical Analyst,Research Chemist,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,Genuine Parts
0 to 14 Years,BBA,$58K-$119K,Sri Jayawardenepura Kotte,Full-Time,Operations Manager,Supply Chain Manager,"Supply Chain Managers manage the end-to-end supply chain process, from procurement to distribution. They optimize logistics, reduce costs, and ensure the efficient flow of products or services to meet customer demand.",Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation,Hero MotoCorp
2 to 9 Years,BCA,$57K-$94K,Nairobi,Contract,Nurse Manager,Nursing Director,"Nursing Directors oversee nursing departments in healthcare facilities. They manage nursing staff, develop policies and procedures, and ensure the delivery of high-quality patient care while adhering to regulatory standards.",Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills,AES
4 to 14 Years,B.Com,$64K-$93K,N'Djamena,Full-Time,Environmental Consultant,Environmental Compliance Officer,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.",Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing,Ferguson plc
1 to 13 Years,M.Tech,$59K-$110K,Thimphu,Part-Time,Paralegal,Real Estate Paralegal,"Assist in real estate transactions, including title searches, closings, and contract preparation.",Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills,Jones Financial (Edward Jones)
3 to 15 Years,PhD,$65K-$126K,San Salvador,Intern,IT Manager,IT Director,"An IT Director oversees an organizations IT department and technology infrastructure. They develop IT strategies, manage budgets, and ensure IT systems support business objectives.",Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems,Rio Tinto
2 to 14 Years,B.Com,$60K-$85K,Juba,Part-Time,Network Engineer,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",U.S. Bancorp
4 to 9 Years,PhD,$64K-$81K,Marigot,Intern,Physical Therapist,Pediatric Physical Therapist,"Specialize in providing physical therapy to children, addressing developmental and mobility issues.",Pediatric rehabilitation Developmental assessments Child psychology knowledge,Block
3 to 14 Years,BBA,$55K-$105K,Banjul,Contract,Front-End Developer,Web Designer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration",Newcrest Mining
3 to 9 Years,M.Com,$58K-$97K,Singapore,Full-Time,Data Entry Clerk,Administrative Assistant,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,Clorox Company
4 to 12 Years,PhD,$56K-$88K,Valletta,Part-Time,Investment Banker,Mergers and Acquisitions Advisor,"A Mergers and Acquisitions Advisor assists in evaluating potential mergers and acquisitions, conducting due diligence, and providing strategic recommendations for corporate transactions.",Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques,UGI
3 to 10 Years,BBA,$65K-$80K,San Juan,Part-Time,Software Tester,Automation Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",The Boeing Company
1 to 13 Years,M.Tech,$61K-$101K,Belmopan,Part-Time,SEO Specialist,Content SEO Strategist,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.",Content strategy SEO content optimization Content marketing Keyword mapping Analytics,Entergy
0 to 14 Years,B.Com,$57K-$90K,Philipsburg,Part-Time,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,Advanced Micro Devices
3 to 10 Years,BCA,$65K-$98K,Sri Jayawardenepura Kotte,Full-Time,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",International Paper
0 to 15 Years,MCA,$64K-$102K,Bissau,Part-Time,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",Warner Bros. Discovery
3 to 9 Years,M.Com,$58K-$89K,Nuku?alofa,Intern,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Regions Financial
5 to 13 Years,BCA,$58K-$106K,Jakarta,Intern,Legal Assistant,Legal Secretary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",Weyerhaeuser
5 to 10 Years,M.Com,$64K-$91K,Sarajevo,Full-Time,Data Entry Clerk,Record Keeper,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",Records management Data entry and retrieval Attention to detail,Cisco Systems
4 to 13 Years,PhD,$56K-$83K,Kigali,Intern,Web Designer,Frontend Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,Osram Licht AG (Now part of ams AG)
0 to 13 Years,B.Com,$56K-$93K,Harare,Part-Time,Purchasing Agent,Inventory Manager,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,Westinghouse Air Brake Technologies
1 to 8 Years,MBA,$55K-$99K,Seoul,Contract,Landscape Architect,Environmental Designer,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.",Environmental design principles Sustainability concepts CAD and design software,Fox
4 to 13 Years,BA,$64K-$117K,Thimphu,Full-Time,Administrative Assistant,Data Entry Specialist,"Accurately input and maintain data in databases or spreadsheets, ensuring data integrity and organization.","Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency",Aviva
2 to 10 Years,MBA,$62K-$101K,Seoul,Intern,Copywriter,Technical Copywriter,"Technical Copywriters create content that explains complex technical concepts in a clear and accessible manner. They often write user manuals, product documentation, and technical guides to assist users and customers.",Technical writing Documentation User manuals Technical specifications Industry-specific terminology Research skills,Raytheon Technologies
5 to 13 Years,BA,$65K-$123K,Luanda,Contract,HR Coordinator,Recruitment Coordinator,"Recruitment Coordinators support the hiring process by scheduling interviews, screening candidates, and assisting with onboarding. They ensure a smooth recruitment process and maintain candidate records.",Recruitment process Candidate screening Applicant tracking systems Communication,DXC Technology
2 to 14 Years,MBA,$61K-$81K,Belgrade,Part-Time,Network Engineer,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",Expeditors International of Washington
2 to 10 Years,MCA,$56K-$108K,Belmopan,Contract,Litigation Attorney,Corporate Litigator,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.",Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,Norfolk Southern
0 to 13 Years,B.Com,$61K-$94K,San Jose,Part-Time,Systems Administrator,IT Support Specialist,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,Infineon Technologies AG
2 to 15 Years,BBA,$62K-$119K,Mbabane,Contract,Office Manager,Administrative Manager,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.",Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills,Bunzl
4 to 15 Years,BCA,$58K-$106K,Tripoli,Intern,Quality Assurance Analyst,Test Automation Engineer,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management",Prudential Financial
3 to 14 Years,MBA,$56K-$128K,Vienna,Intern,Technical Writer,Content Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Morgan Stanley
5 to 9 Years,MBA,$64K-$90K,Skopje,Contract,SEM Specialist,Search Engine Marketer,"Search Engine Marketers optimize online content for search engines. They use SEO strategies to improve website rankings, increase organic traffic, and enhance online visibility.",Search engine marketing PPC advertising SEO strategy Data analysis Digital marketing skills,Mahindra & Mahindra Financial Services
4 to 10 Years,BBA,$61K-$120K,City of Baghdad,Contract,Front-End Developer,Accessibility Developer,"An Accessibility Developer focuses on making digital products and websites accessible to individuals with disabilities, ensuring compliance with accessibility standards.","Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail",China National Chemical Corporation (ChemChina)
1 to 13 Years,BBA,$56K-$91K,Apia,Intern,Supply Chain Analyst,Logistics Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,Sinopharm Group
2 to 10 Years,M.Com,$64K-$117K,Tokyo,Intern,Electrical Designer,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,Markel
3 to 14 Years,B.Tech,$58K-$105K,Majuro,Contract,Data Scientist,Machine Learning Engineer,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Osram Licht AG (Now part of ams AG)
5 to 11 Years,MBA,$63K-$130K,Nuuk,Part-Time,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,Torrent Pharmaceuticals
1 to 8 Years,BCA,$61K-$86K,Kampala,Full-Time,Database Administrator,Database Developer,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",Owens Corning
4 to 14 Years,B.Tech,$61K-$118K,Kingstown,Part-Time,Urban Planner,City Planner,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.",Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement,Merck
1 to 14 Years,B.Tech,$55K-$99K,Amman,Intern,Project Manager,Agile Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",Capital One Financial
1 to 10 Years,BCA,$62K-$117K,Beirut,Full-Time,Email Marketing Specialist,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail",Packaging Corp. of America
5 to 8 Years,MCA,$56K-$126K,Castries,Part-Time,Network Administrator,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,Carnival Corporation & plc
4 to 10 Years,MCA,$58K-$84K,"Malabo (de jure),",Full-Time,Teacher,Subject Matter Expert,A Subject Matter Expert possesses deep knowledge in a specific field and provides expertise to solve complex problems or guide decision-making within that domain.,Expertise in a specific subject area Knowledge of curriculum standards Instructional design Assessment development Educational technology proficiency,Baker Hughes
0 to 11 Years,BCA,$64K-$80K,"Malabo (de jure),",Full-Time,Structural Engineer,Construction Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.",Construction management Structural design AutoCAD proficiency Project management Site inspection,BP (British Petroleum)
3 to 12 Years,MBA,$64K-$90K,Gaza,Contract,UX/UI Designer,User Experience Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Aditya Birla Capital
4 to 9 Years,PhD,$58K-$99K,Nouakchott,Intern,Landscape Designer,Sustainable Landscape Specialist,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification,United Parcel Service
2 to 13 Years,M.Tech,$65K-$116K,Dublin,Intern,Technical Writer,Content Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Southwestern Energy
5 to 15 Years,BBA,$58K-$130K,Basseterre,Contract,Business Analyst,Healthcare Business Analyst,"Healthcare Business Analysts work in the healthcare industry, analyzing data and processes to improve healthcare delivery. They collaborate with healthcare professionals and IT teams to optimize systems and workflows.",Healthcare industry knowledge Health data analysis HIPAA regulations EMR systems,ConocoPhillips
5 to 10 Years,B.Com,$59K-$82K,Hanoi,Part-Time,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,Uber Technologies
4 to 11 Years,M.Com,$61K-$93K,Gitega,Intern,Personal Assistant,Personal Secretary,"Personal Secretaries provide administrative support to individuals or executives. They manage schedules, handle correspondence, and assist with various tasks to ensure efficiency.",Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,Ashtead Group
0 to 9 Years,MCA,$64K-$108K,Windhoek,Contract,Substance Abuse Counselor,Family Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",Family counseling Marriage and family therapy Conflict resolution skills,Linde plc
1 to 12 Years,M.Tech,$65K-$96K,Dakar,Part-Time,Pediatrician,Pediatric Specialist,"Pediatric Specialists are doctors with expertise in specific pediatric subspecialties like cardiology, oncology, or gastroenterology. They provide specialized care and treatment for children with complex or rare medical conditions.","Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment",Rite Aid
2 to 12 Years,BCA,$63K-$111K,Paramaribo,Part-Time,Urban Planner,Environmental Planner,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management,Alumina Limited
5 to 9 Years,PhD,$59K-$108K,Dili,Part-Time,Paralegal,Litigation Paralegal,"Assist in litigation cases, including document preparation, legal research, and trial support.",Legal research Discovery management Case preparation Trial support Document review Client communication E-filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency,McDonald's
2 to 10 Years,MBA,$55K-$82K,Port Moresby,Part-Time,Operations Manager,Supply Chain Manager,"Supply Chain Managers manage the end-to-end supply chain process, from procurement to distribution. They optimize logistics, reduce costs, and ensure the efficient flow of products or services to meet customer demand.",Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation,Rockwell Automation
5 to 14 Years,M.Com,$62K-$95K,Windhoek,Contract,Office Manager,Office Coordinator,"Office Coordinators provide administrative support within an office. They assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management,L&T Finance Holdings
5 to 9 Years,M.Tech,$62K-$93K,Basseterre,Contract,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,AMP Limited
4 to 13 Years,M.Tech,$56K-$102K,Tirana,Part-Time,Marketing Specialist,Digital Marketing Specialist,"Digital Marketing Specialists create and execute online marketing campaigns. They utilize digital channels like social media, email, and SEO to reach target audiences, generate leads, and improve brand visibility and engagement.",Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting,PBF Energy
2 to 9 Years,B.Tech,$61K-$110K,Praia,Part-Time,Art Director,Creative Director,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality.",Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,UnitedHealth Group
0 to 8 Years,BA,$63K-$95K,Khartoum,Full-Time,Content Writer,Content Strategist,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",Content strategy Content planning SEO optimization Content marketing Analytics,XPO
5 to 12 Years,BBA,$58K-$93K,Bamako,Intern,Software Architect,Solution Architect,"A Solution Architect designs and develops effective solutions for complex business problems, leveraging technology and aligning them with the organizations goals and objectives.",Solution design Technical architecture Cloud computing and software development knowledge,NIO Inc.
1 to 10 Years,B.Tech,$55K-$130K,Asmara,Contract,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)",Westinghouse Air Brake Technologies
1 to 10 Years,PhD,$61K-$93K,Lilongwe,Intern,Legal Advisor,Legal Counsel,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.",Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance,Corning
2 to 15 Years,PhD,$62K-$109K,Apia,Full-Time,Procurement Specialist,Sourcing Analyst,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.",Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation,Beacon Roofing Supply
5 to 15 Years,MBA,$62K-$108K,Stockholm,Intern,Network Administrator,Network Engineer,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.","Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail",Metro AG
2 to 9 Years,MCA,$61K-$115K,Windhoek,Contract,Investment Banker,Investment Portfolio Manager,"An Investment Portfolio Manager manages investment portfolios, making investment decisions, monitoring performance, and optimizing asset allocation for clients or the organization.",Investment analysis Portfolio management Risk assessment,Regions Financial
5 to 12 Years,BA,$61K-$99K,Monaco,Intern,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,Quanta Services
0 to 15 Years,PhD,$64K-$99K,Kabul,Contract,Inventory Analyst,Inventory Control Specialist,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,JD Sports Fashion
5 to 9 Years,M.Com,$57K-$122K,Lima,Intern,Customer Service Manager,Customer Experience Strategist,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions.",Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills,Aurizon Holdings
0 to 14 Years,B.Com,$62K-$99K,New Delhi,Contract,Network Engineer,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",Dixons Carphone
2 to 14 Years,M.Tech,$62K-$96K,Majuro,Full-Time,Marketing Specialist,Content Marketing Manager,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.",Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,"The Goldman Sachs Group, Inc."
5 to 11 Years,MBA,$64K-$92K,Port-au-Prince,Full-Time,Social Media Manager,Social Media Analyst,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Huntington Ingalls Industries
0 to 13 Years,B.Com,$61K-$117K,Macao,Full-Time,Network Security Specialist,Cybersecurity Analyst,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning",CommScope Holding
4 to 8 Years,MCA,$65K-$89K,Khartoum,Intern,Landscape Architect,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,The Clorox Company
